Date Month-Year,Aux_GenAI_LLM_Volume,Aux_Pure_Material_Spintronics,Aux_Application_Demand_BCI_TinyML,Aux_Pure_Algorithmic_Plasticity
May-2023,235,169,418,81
Jun-2023,274,148,495,66
Jul-2023,509,316,581,160
Aug-2023,433,218,488,173
Sep-2023,621,174,483,154
Oct-2023,1132,332,501,228
Nov-2023,814,192,414,124
Dec-2023,1075,160,484,162
Jan-2024,481,208,353,65
Feb-2024,669,214,402,82
Mar-2024,1150,257,534,120
Apr-2024,1443,190,552,183
May-2024,1750,281,600,196
Jun-2024,2454,231,542,181
Jul-2024,2081,251,637,165
Aug-2024,2713,197,547,220
Sep-2024,3458,210,567,206
Oct-2024,2625,213,469,212
Nov-2024,1952,212,540,162
Dec-2024,1907,151,394,129
Jan-2025,1042,161,332,92
Feb-2025,1471,198,393,87
Mar-2025,2826,260,542,179
Apr-2025,2976,316,711,217
May-2025,4653,313,635,248
Jun-2025,3820,252,759,206
Jul-2025,5966,293,756,291
Aug-2025,4011,188,662,198
Sep-2025,3899,213,629,217
Oct-2025,4231,242,582,205
Nov-2025,5909,276,576,221
Dec-2025,4985,165,579,247
