Date	Spintronic synapses/neurons (MTJ-based)	Co-design of learning rules with device physics	Hybrid CMOS + spintronic integration	Low-power continual learning	Stochastic and probaility MTJ operation	Nonvolatile synaptic weight state engineering	Multilevel and analog-like MTJ synapse operation	Energy barrier and Anisotropy engineering	Switching mechanism engineering	Geometry and materials structure engineering	Endurance and reliability properties	Resistive Switching Physics	Hebbian/Spike-Timing-Dependent Plasticity (STDP)	Physical Reservoir Computing (PRC) 	Stochastic Computing (SC) (in low power)	Physics-Informed Neuromorphic Learning (PINL)	Stability-Plasticity	Hardware-Algorithm Synergy (in BCI data)	Stability-Plasticity Balancing	Synaptic-Plasticity Modelling (in Spiking Neural Network)	CMOS-spintronic circuit integration	CMOS-compatible fabrication process integration 	MRAM (or MTJ) array architecture 	MRAM (or MTJ) PIM (process-in-memory) architecture	Spintronic neuromorphic architecture	Parameter-Efficient Fine-Tuning (PEFT)	Dynamic Neural Architectures 	Knowledge Distillation (in AI/ML)	Feature Buffering (in AI/ML)	Dynamic Pruning (in AI/ML)	Stability-Plasticity theory (in neuroscience and AI)	Hyperdimensional Computing (HDC) (in energy efficiency) 	Developmental Principles (in AI and energy efficiency) 	Aux_GenAI_LLM_Volume	Aux_Pure_Material_Spintronics	Aux_Application_Demand_BCI_TinyML	Aux_Pure_Algorithmic_Plasticity
2005-08	0	0	0.1	0	0.11304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225045366	1.563806899	1.305272206	0	0	0	0	0	0	0	0	0.203508058	0	0	0	0	0
2005-09	0	0	0.108	0	0.1153152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.215983451	1.544230359	0.998215823	0	0	0	0	0	0	0	0	0.188210044	0	0	0	0	0
2005-10	0	0	0.21304	0	0.115056576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203508058	1.495726866	1.001900762	0	0	0	0	0	0	0	0	0.17067763	0	0	0	0	0
2005-11	0	0	0.2233152	0	0.112522683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188210044	1.422159184	0.745179192	0	0	0	0	0	0	0	0	0.151484905	0	0	0	0	0
2005-12	0	0	0.228096576	0	0.107991725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17067763	1.427505088	0.499226195	0	0	0	0	0	0	0	0	0.131181754	0	0	0	0	0
2006-01	0.4	0	0.427837883	0	0.101754029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.851484905	2.123766299	0.767883974	0	0	0	0	0	0	0	0	0.110285284	0	0	0	0	0
2006-02	0.432	0	0.539048301	0	0.094105022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.887181754	2.067926063	0.594318295	0	0	0	0	0	0	0	0	0.089272755	0	0	0	0	0
2006-03	0.45216	0	0.648356712	0	0.085338815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.901565284	1.976311329	0.526222818	0	0	0	0	0	0	0	0	0.068576023	0	0	0	0	0
2006-04	0.4612608	0	0.653767147	0	0.075742453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.896479155	1.954331842	0.474412433	0	0	0	0	0	0	0	0	0.048577444	0	0	0	0	0
2006-05	0.460226304	0	0.645561196	0	0.065590877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.873972055	1.815463667	0.338294838	0	0	0	0	0	0	0	0	0.029607175	0	0	0	0	0
2006-06	0.450090732	0	0.625264616	0	0.055142642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.836236225	1.654173037	0.209023105	0	0	0	0	0	0	0	0	0.011941788	0	0	0	0	0
2006-07	0.431966902	0	0.594492402	0	0.044636377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.785549252	1.475928008	0.088498083	0	0	0	0	0	0	0	0	-0.004195895	0	0	0	0	0
2006-08	0.407016117	0	0.554907561	0	0.034288012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.724219993	1.285988922	-0.021744398	0	0	0	0	0	0	0	0	-0.018635892	0	0	0	0	0
2006-09	0.376420088	0	0.508183053	0	0.024288722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.654539259	1.089323967	0.079472257	0	0	0	0	0	0	0	0	-0.031259172	0	0	0	0	0
2006-10	0.34135526	0	0.555967335	0	0.014803587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.578735813	0.990539027	0.008977802	0	0	0	0	0	0	0	0	-0.04199494	0	0	0	0	0
2006-11	0.30296981	0	0.607853842	0	0.005970894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.498937996	0.901821801	-0.054646764	0	0	0	0	0	0	0	0	-0.050817233	0	0	0	0	0
2006-12	0.262363509	0	0.562394621	0	-0.002097948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.417141201	0.723939862	-0.110815938	0	0	0	0	0	0	0	0	-0.057740951	0	0	0	0	0
2007-01	0.220570568	0	0.51023343	0	-0.009317946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.335181261	0.849367319	0.140848124	0	0	0	0	0	0	0	0	-0.062817479	0	0	0	0	0
2007-02	0.178545509	0	0.453083689	0	-0.015629586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25471369	0.705264684	0.124528817	0	0	0	0	0	0	0	0	-0.066130005	0	0	0	0	0
2007-03	0.137152046	0	0.392587249	0	-0.02099747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177198602	0.561467019	0.107350865	0	0	0	0	0	0	0	0	-0.067788677	0	0	0	0	0
2007-04	0.097154889	0	0.430288708	0	-0.025408616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103891051	0.42081978	0.08974369	0	0	0	0	0	0	0	0	-0.067925709	0	0	0	0	0
2007-05	0.059214349	0	0.375614247	0	-0.028870476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035836434	0.28582087	0.172102359	0	0	0	0	0	0	0	0	-0.066690524	0	0	0	0	0
2007-06	0.023883577	0	0.318894947	0	-0.03140874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.02612945	0.358605433	0.262783114	0	0	0	0	0	0	0	0	-0.064245047	0	0	0	0	0
2007-07	-0.00839179	0	0.261469678	0	-0.033065002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.081376157	0.356939431	0.259140132	0	0	0	0	0	0	0	0	-0.060759216	0	0	0	0	0
2007-08	-0.037271785	0	0.304557542	0	-0.033894339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.12947067	0.76830124	0.250678645	0	0	0	0	0	0	0	0	-0.056406784	0	0	0	0	0
2007-09	-0.062518344	0	0.357245469	0	-0.033962855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.170166318	1.223160844	0.238049734	0	0	0	0	0	0	0	0	-0.05136146	0	0	0	0	0
2007-10	-0.08398988	0	0.417519694	0	-0.033345262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.203389075	1.208071271	0.221922719	0	0	0	0	0	0	0	0	-0.045793439	0	0	0	0	0
2007-11	-0.101634465	0	0.583416103	0	-0.032122523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.229221774	1.170329229	0.602969951	0	0	0	0	0	0	0	0	-0.039866351	0	0	0	0	0
2007-12	-0.115481903	0	0.561054548	0	-0.030379608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.247886769	1.212954807	0.813853061	0	0	0	0	0	0	0	0	-0.033734645	0	0	0	0	0
2008-01	-0.125634958	0	0.529708059	0	-0.028203392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.259727528	1.447058732	0.827370799	0	0	0	0	0	0	0	0	-0.027541417	0	0	0	0	0
2008-02	-0.132260009	0	0.690902057	0	-0.02568073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.265189661	1.388811089	0.822989347	0	0	0	0	0	0	0	0	-0.021416683	0	0	0	0	0
2008-03	-0.135577355	0	0.662158614	0	-0.022896719	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	-0.264801788	1.308611988	0.802586253	0	0	0	0	0	0	0	0	-0.015476089	0	0	0	0	0
2008-04	-0.135851419	0	0.623046343	0	-0.019933176	0	0	0	0	0	0	0	0	0.108	0	0	0	0	0	0	-0.259156666	1.210260558	0.868171744	0	0	0	0	0	0	0	0	-0.009820032	0	0	0	0	0
2008-05	-0.133381048	0	1.375384372	0	-0.016867323	0	0	0	0	0	0	0	0	0.11304	0	0	0	0	0	0	-0.148892923	1.19753906	0.829835251	0	0	0	0	0	0	0	0	-0.004533181	0	0	0	0	0
2008-06	-0.128490093	0	1.384980911	0	-0.013770708	0	0	0	0	0	0	0	0	0.1153152	0	0	0	0	0	0	-0.126677695	1.08213893	0.778735702	0	0	0	0	0	0	0	0	0.000315649	0	0	0	0	0
2008-07	-0.121518432	0	1.365918178	0	-0.010708341	0	0	0	0	0	0	0	0	0.115056576	0	0	0	0	0	0	-0.104150437	0.956636035	0.717171394	0	0	0	0	0	0	0	0	0.004673283	0	0	0	0	0
2008-08	-0.112813568	0	1.421443354	0	-0.007738044	0	0	0	0	0	0	0	0	0.112522683	0	0	0	0	0	0	-0.081792896	1.124550709	0.747420088	0.6	0	0	0	0	0	0	0	0.008501688	0	0	0	0	0
2008-09	-0.10272292	0	1.362987146	0	-0.004910016	0	0	0	0	0	0	0	0	0.107991725	0	0	0	0	0	0	-0.060035251	1.113182901	0.779695512	0.648	0	0	0	0	0	0	0	0.011777218	0	0	0	0	0
2008-10	-0.091586878	0	1.783116816	0	-0.00226659	0	0	0	0	0	0	0	0	0.101754029	0	0	0	0	0	0	-0.039252665	1.000688215	0.713149483	0.67824	0	0	0	0	0	0	0	0.014489652	0	0	0	0	0
2008-11	-0.079732702	0	1.725571182	0	0.000157824	0	0	0	0	0	0	0	0	0.094105022	0	0	0	0	0.1	0	-0.019763285	0.879429234	1.038995067	0.6918912	0	0	0	0	0	0	0	0.016641049	0	0	0	0	0
2008-12	-0.06746929	0	1.639268688	0	0.002336641	0	0	0	0	0	0	0	0	0.085338815	0	0	0	0	0.108	0	-0.001827577	0.752707567	1.091476192	0.690339456	0	0	0	0	0	0	0	0.018244485	0	0	0	0	0
2009-01	-0.055082833	0	1.52881107	0	0.004250844	0	0	0	0	0	0	0	0	0.075742453	0	0	0	0	0.11304	0	0.014351112	0.623603915	1.23687968	0.675136097	0	0	0	0	0	0	0	0.019322688	0	0	0	0	0
2009-02	-0.042833366	0	1.398822992	0	0.005888609	0	0	0	0	0	0	0	0	0.065590877	0	0	0	0	0.1153152	0	0.02862491	0.694938549	1.183005225	0.847950352	0	0	0.3	0	0	0	0	0.019906617	0	0	0	0	0
2009-03	-0.030952178	0	1.253857263	0	0.007244826	0	0	0	0	0	0	0	0	0.055142642	0	0	0	0	0.115056576	0	0.040898829	0.58524095	1.110858112	0.826524175	0	0	0.324	0	0	0	0	0.02003402	0	0	0	0	0
2009-04	-0.019640065	0	1.29831096	0	0.008320524	0	0	0	0	0	0	0	0	0.044636377	0	0	0	0	0.112522683	0	0.55112738	0.574808291	1.123708548	1.490710132	0	0	0.33912	0	0	0	0	0.019748003	0	0	0	0	0
2009-05	-0.009066362	0	1.152353069	0	0.009122242	0	0	0	0	0	0	0	0	0.034288012	0	0	0	0	0.107991725	0	0.599310529	0.673922732	1.032799769	1.498663291	0	0	0.3459456	0	0	0	0	0.019095628	0	0	0	0	0
2009-06	0.000631298	0	0.997943906	0	0.009661344	0	0	0	0	0	0	0	0	0.024288722	0	0	0	0	0.101754029	0	0.630689152	0.789647275	0.930325873	1.475847867	0	0	0.545169728	0	0	0	0	0.018126577	0	0	0	0	0
2009-07	0.009346566	0	1.139016781	0	0.009953308	0	0	0	0	0	0	0	0	0.014803587	0	0	0	0	0.094105022	0	0.646316129	0.718006418	0.919492849	1.425797029	0	0	0.553568049	0	0	0	0	0.0168919	0	0	0	0	0
2009-08	0.017003376	0	1.703202032	0	0.01001701	0	0	0	0	0	0	0	0	0.005970894	0	0	0	0	0.085338815	0	1.147454087	0.739169518	0.81135327	1.352235334	0	0	0.550055176	0	0	0	0	0.015442853	0	0	0	0	0
2009-09	0.023554437	0	1.616904718	0	0.009874002	0	0	0	0	0	0	0	0	-0.002097948	0	0	0	0	0.075742453	0	1.875529166	0.863432918	0.697800584	1.258985102	0	0	0.535892488	0	0	0	0	0.013829853	0	0	0	0	0
2009-10	0.228979303	0	1.706899041	0	0.009547814	0	0	0	0	0	0	0	0	-0.009317946	0	0	0	0	0.065590877	0	1.933286155	0.798001319	0.581647155	1.149880191	0	0	0.812428218	0	0	0	0	0.012101556	0	0	0	0	0
2009-11	0.249282097	0	1.593755951	0	0.009063289	0	0	0	0	0	0	0	0	-0.015629586	0	0	0	0	0.055142642	0	1.946601722	0.923152854	0.465476125	1.028688168	0	0	0.805061811	0	0	0	0	0.010304058	0	0	0	0	0
2009-12	0.26256897	0	1.460052051	0	0.00844595	0	0	0	0	0	0	0	0	-0.02099747	0	0	0	0	0.044636377	0	1.919653697	0.957326178	0.551612676	0.899041583	0	0	0.782330809	0	0	0	0	0.008480229	0	0	0	0	0
2010-01	0.469275775	0	1.3105175	0	0.007721426	0	0	0.2	0	0	0	0	0	-0.025408616	0	0	0	0	0.034288012	0	2.357007401	1.188935647	0.558103319	0.764378825	0	0	0.74622629	0	0	0	0	0.006669178	0	0	0	0	0
2010-02	0.885926385	0	1.149726054	0	0.006914927	0	0	0.216	0	0	0	0	0	-0.028870476	0	0	0	0	0.024288722	0	2.303485587	1.133605455	0.47278283	0.627894766	0	0	0.698807698	0	0	0	0	0.004905848	0	0	0	0	0
2010-03	0.923193406	0	1.482019231	0	0.006050778	0	0	0.22608	0	0	0	0	0	-0.03140874	0	0	0	0	0.014803587	0	2.409246242	1.061136174	0.386538734	0.892501218	0	0	0.642154811	0	0	0	0	0.003220734	0	0	0	0	0
2010-04	0.938269857	0	1.351442706	0	0.005152029	0	0	0.2306304	0	0	0	0	0	-0.033065002	0	0	0	0	0.005970894	0	2.296245907	0.974691097	0.301188273	0.792797001	0	0	0.578324116	0	0	0	0	0.001639718	0	0	0	0	0
2010-05	0.933073265	0	1.50689498	0	0.104240114	0	0	0.230113152	0	0	0	0	0	-0.033894339	0	0	0	0	-0.002097948	0	2.448620687	1.277396706	0.418349093	0.687207265	0	0	0.509310009	0	0	0	0	0.000184008	0	0	0	0	0
2010-06	1.109734868	0	1.476664126	0	0.111334589	0	0	0.425045366	0	0	0	0	0	-0.033962855	0	0	0	0	-0.009317946	0	2.496785576	1.50428382	0.355426849	0.578432357	0	0	0.437011112	0	0	0	0	-0.001129811	0	0	0	0	0
2010-07	1.086535613	0	1.339923076	0	0.115492924	0	0	0.431983451	0	0	0	0	0	-0.033345262	0	0	0	0	-0.015629586	0	2.330198264	1.438396546	0.291688292	0.468966293	0	0	0.363201882	0	0	0	0	-0.002289651	0	0	0	0	0
2010-08	1.043925571	0	1.190057668	0	0.116925567	0	0	0.429588058	0	0	0	0	0	-0.032122523	0	0	0	0	-0.02099747	0	2.133665718	1.650330069	0.328489825	0.36106751	0	0	0.389509538	0	0	0	0	-0.003287715	0	0	0	0	0
2010-09	0.984698022	0	1.131377649	0	0.115876435	0	0	0.418840444	0	0	0	0	0	-0.030379608	0	0	0	0	-0.025408616	0	1.914113112	1.568063638	0.275041408	0.256737255	0	0	0.325396238	0	0	0	0	-0.004120218	0	0	0	0	0
2010-10	1.011699267	0	0.975938078	0	0.212614687	0	0	0.400790782	0	0	0	0	0	-0.028203392	0	0	0	0	-0.028870476	0	2.078233505	1.662662577	0.221437005	0.15770528	0	0	0.261186342	0	0	0	0	-0.004787066	0	0	0	0	0
2010-11	0.935766402	0	0.816523703	0	0.21542682	0	0	0.376530271	0	0	0	0	0	-0.02568073	0	0	0	0	-0.03140874	0	1.864377188	1.554548371	0.168764302	0.065422397	0	0	0.19817371	0	0	0	0	-0.005291488	0	0	0	0	0
2010-12	0.848711496	0	1.056720291	0	0.213649203	0	0	0.447165205	0	0	0	0	0	-0.022896719	0	0	0	0	-0.033065002	0	1.634618959	1.726154618	0.217983583	0.181059354	0	0	0.137498867	0	0	0	0	-0.005639639	0	0	0	0	0
2011-01	0.853387851	0	1.131762815	0	0.207776364	0	0	0.621793342	0	0	0	0	0	-0.019933176	0	0	0	0	-0.033894339	0	1.795144174	1.706077148	0.177921264	0.121511429	0	0	0.08014153	0	0	0	0	-0.005840181	0	0	0	0	0
2011-02	0.760528813	0	1.01666583	0	0.198335282	0	0	0.606522799	0	0	0	0	0	-0.016867323	0	0	0	0	-0.033962855	0	1.583713984	1.573885882	0.138306752	0.065488067	0	0	0.026917097	0	0	0	0	-0.005903865	0	0	0	0	0
2011-03	0.661745103	0	0.892745226	0.5	0.185871602	0	0	0.580648853	0	0	0	0	0	-0.013770708	0	0	0	0	-0.033345262	0	1.461752533	1.423436025	0.299887557	0.013757281	0	0	-0.021523235	0	0	0	0	-0.005843104	0	0	0	0	0
2011-04	0.559604861	0	0.763361779	0.54	0.170936858	0	0	0.545749325	0	0	0	0	0	-0.010708341	0	0	0	0	-0.032122523	0	1.242752177	1.459562433	0.479312529	-0.033075573	0	0	-0.064689069	0	0	0	0	-0.005671557	0	0	0	0	0
2011-05	0.456486547	0	0.731649441	0.5652	0.154076852	0	0	0.603424764	0	0	0	0	0	-0.007738044	0	0	0	0	-0.030379608	0	1.620796813	1.402884952	0.571208754	0.22543637	0	0	-0.102244539	0	0	0	0	-0.005403733	0	0	0	0	0
2011-06	0.354550333	0	0.808475348	0.576576	0.135821309	0	0	0.563264163	0	0	0	0	0	-0.004910016	0	0	0	0	-0.028203392	0	2.048621049	1.34381752	0.862491181	0.213588392	0	0	-0.13399957	0	0	0	0	-0.005054617	0	0	0	0	0
2011-07	0.255716733	0	0.701449157	0.67528288	0.116674894	0	0	0.515854339	0	0	0	0	0	-0.00226659	0	0	0	0	-0.02568073	0	1.91269044	1.28378048	0.867395542	0.198653443	0	0	-0.159899107	0	0	0	0	-0.004639321	0	0	0	0	0
2011-08	0.16165216	0	0.691096602	0.670613414	0.097109623	0	0	0.462868411	0	0	0	0	0	0.000157824	0	0	0	0	-0.022896719	0	2.152099083	1.424071535	0.954461556	0.181238921	0	0	-0.180010709	0	0	0	0	-0.004172767	0	0	0	0	0
2011-09	0.073761	0	0.58795737	0.652998627	0.077558686	0	0	0.405923708	0	0	0	0	0	0.002336641	0	0	0	0	-0.019933176	0	2.004524881	1.381852054	1.233731738	0.161941072	0	0	-0.194510935	0	0	0	0	-0.003669414	0	0	0	0	0
2011-10	-0.006816264	0	0.483372915	0.624085346	0.058411669	0	0	0.346555	0	0	0	0	0	0.004250844	0	0	0	0	-0.016867323	0	1.931617601	1.33621748	1.520400266	0.141334187	0	0	-0.103670921	0	0	0	0	-0.003143007	0	0	0	0	0
2011-11	-0.079199476	0	0.379579446	0.785581686	0.040011121	0	0	0.286192063	0	0	0.1	0	0	0.005888609	0	0	0	0	-0.013770708	0	2.047368697	1.188422013	1.507993936	0.119961306	0	0	-0.099841489	0	0	0	0	-0.002606382	0	0	0	0.1	0
2011-12	-0.142760378	0	0.278573736	0.755216758	0.022650405	0	0	0.226141579	0	0	0.108	0	0	0.007244826	0	0	0	0	-0.010708341	0	1.870597309	1.331637653	1.466668361	0.098326488	0	0	-0.094398171	0	0	0	0	-0.002071291	0	10.3	47.9	169.708	22
2012-01	0.502890019	0	0.382097122	0.812783988	0.006572753	0	0	0.167573312	0.1	0.2	0.11304	0.3	0.2	0.108320524	0	0.2	0	0	-0.007738044	0	1.874091114	1.393898976	1.600141976	0.076888621	0.1	0	-0.087611222	0	0	0	0	-0.001548283	0	11.424	54.532	190.08104	24.16
2012-02	0.613917575	0	0.507626226	1.368338815	0.19197141	0	0	0.211510405	0.208	0.216	0.1153152	0.324	0.216	0.117122242	0	0.216	0	0	-0.004910016	0	1.679753717	1.562056187	1.52826539	0.556056769	0.108	0	-0.079750742	0	0	0	0	-0.00104661	0	12.26712	60.57016	210.5751552	26.8008
2012-03	0.721564024	0	0.450449896	1.360971384	0.294990774	0	0	0.26682358	0.22104	0.22608	0.115056576	0.33912	0.22608	0.122701344	0	0.22608	0	0	-0.00226659	0	2.371254984	1.642156554	1.933011155	0.576186967	0.11304	0	-0.071081296	0	0	0	0	-0.000574173	0	13.8405856	67.9731008	241.7883558	30.541504
2012-04	0.724014548	0	0.389982201	1.327121267	0.601808386	0	0	0.231268967	0.2283552	0.2306304	0.112522683	0.3459456	0.2306304	0.125268508	0	0.2306304	0	0	0.000157824	0	2.226181026	1.521403752	1.85862212	0.582780405	0.1153152	0	-0.061857169	0	0	0	0	-0.000137496	0	15.43989293	72.2562855	256.8644692	34.01730752
2012-05	1.111739728	0	0.827761632	1.870113737	0.625908069	0	0	0.194644435	0.230371776	0.230113152	0.107991725	0.345169728	0.230113152	0.125073586	0	0.230113152	0	0	0.002336641	0	2.051090842	1.582298156	2.154499546	0.577058892	0.115056576	0	-0.052318311	0	0	0	0	0.000258264	0	16.77047166	77.80602603	275.3356819	35.90518454
2012-06	2.418457596	0	1.105207886	2.341404685	0.635079622	0	0	0.157789468	0.227579259	0.225045366	0.101754029	0.337568049	0.225045366	0.122396684	0	0.425045366	0	0	0.004250844	0	1.85248786	1.545457156	2.357699239	1.260368352	0.112522683	0	-0.042686972	0	0	0	0	0.000609282	0	16.51258309	77.26467198	271.0930596	35.38617016
2012-07	2.506134525	0	1.292805358	2.718738445	0.630632428	0	0	0.121464209	0.220514408	0.215983451	0.094105022	0.323975176	0.215983451	0.117539539	0	0.431983451	0	0	0.005888609	0	1.636695419	1.401391113	2.353424977	1.290139499	0.107991725	0	-0.033165028	0	0	0	0	0.000913013	0	19.05023172	96.01215989	321.2128384	39.53133382
2012-08	2.534921071	0	1.275786975	2.78396406	0.614017304	0	0	0.086342191	0.209745755	0.203508058	0.085338815	0.305262088	0.203508058	0.110817318	0	0.429588058	0	0	0.007244826	0	1.409748314	1.543703852	2.222509643	1.291130741	0.101754029	0	-0.023931978	0	0	0	0	0.10116811	0	19.47311085	99.26465582	339.6963826	41.15135444
2012-09	2.510130541	0	1.334954691	2.706987832	0.586783347	0	0	0.053005531	0.195859051	0.188210044	0.075742453	0.282315066	0.188210044	0.102550972	0	0.418840444	0	0	0.008320524	0	1.177300953	1.50091124	2.060235648	1.266200245	0.094105022	0	-0.015143593	0	0	0	0	0.109374335	0	19.66423985	102.806609	352.9976447	42.28634591
2012-10	2.537616453	0	1.481506542	2.58356947	0.550537118	0	0	0.021942426	0.179443837	0.17067763	0.065590877	0.256016445	0.17067763	0.093060241	0	0.400790782	0	0	0.009122242	0	0.944552309	1.452379665	1.872984341	1.218438793	0.085338815	0	-0.006931175	0	0	0	0	0.114572452	0	19.74297115	106.9382348	366.9488277	44.94211131
2012-11	2.431601444	0	1.423773076	2.420821555	0.50690477	0	0	-0.006453216	0.161081268	0.151484905	0.055142642	0.227227358	0.151484905	0.082657379	0	0.376530271	0	0	0.009661344	0	1.716187484	1.299653653	2.066998477	1.15108471	0.075742453	0	0.000598625	0	0	0	0	0.116959307	0	19.9389699	105.9379332	379.1859158	45.39345794
2012-12	2.287555908	0	1.343337496	2.225932001	0.457497562	0	0	-0.03188023	0.14133333	0.131181754	0.044636377	0.196772632	0.131181754	0.071641655	0	0.347165205	0	0	0.009953308	0	1.576335391	1.13620717	1.98027123	1.067444341	0.065590877	0	0.007363472	0	0	0	0	0.116768291	0	20.29658937	105.0789031	392.7555768	45.65180076
2013-01	2.212163807	0	1.544078724	2.206012762	0.503881123	0	0	0.045873061	0.120733519	0.110285284	0.234288012	0.165427926	0.110285284	0.060294671	0	0.313793342	0	0	0.01001701	0	1.418941799	1.166381192	1.982611283	1.170819123	0.155142642	0	0.013304565	0	0	0	0	0.114261011	0	19.95251511	100.624198	383.5531602	43.07127327
2013-02	2.02006764	0	1.853864254	1.983965191	0.455548705	0	0	0.034933563	0.099779019	0.089272755	0.240288722	0.133909132	0.089272755	0.048876492	0	0.277482799	0	0	0.009874002	0	1.248908731	1.210210188	1.785065106	1.480440044	0.152636377	0	0.018385458	0	0	0	0	0.109719238	0	19.16379798	96.58247946	373.239922	40.48737307
2013-03	1.806779737	0	1.975593947	1.944443074	0.402938555	0	0	0.024389343	0.078924389	0.068576023	0.240883587	0.102864035	0.068576023	0.0376226	0	0.239253653	0	0	0.009547814	0	1.070900795	1.16545208	1.671572243	2.009490072	0.147328012	0	0.022590552	0	0	0	0	0.103437258	0	18.03067659	91.67328316	365.0932092	38.15211543
